# Format:
# (lines starting with # are ignored)
# <input string>,<expected numerator>,<expected denominator>,<optional textual output if it's not just "numerator in denominator">
0,0,1
1,1,1
.723,5,7
.277,2,7
.999,99,100,">99 in 100"
.001,1,100,"<1 in 100"
.561,5,9
.439,4,9
.734,3,4
.266,1,4
.649,2,3
.351,1,3
.799,4,5
.201,1,5
.757,3,4
.243,1,4
.582,4,7
.418,3,7
.977,39,40
.023,1,40
.686,7,10
.314,3,10
.707,5,7
.293,2,7
.863,6,7
.137,1,7
.958,19,20
.042,1,20
.861,6,7
.139,1,7
.845,5,6
.155,1,6
.992,99,100,">99 in 100"
.008,1,100,"<1 in 100"
.780,7,9
.220,2,9
.535,5,9
.485,4,9
.519,1,2
.481,1,2
.700,7,10
.300,3,10
.901,9,10
.099,1,10
.885,8,9
.115,1,9
.930,14,15
.070,1,15
.940,14,15
.060,1,15
.945,19,20
.055,1,20
.964,29,30
.036,1,30
.890,8.9
.110,1,9
.808,4,5
.192,1,5
.981,49,50
.019,1,50
.934,14,15
.066,1,15
.729,5,7
.271,2,7
.988,79,80
.012,1,80
.991,99,100,">99 in 100"
.009,1,100,"<1 in 100"
.984,59,60
.016,1,60
.960,29,30
.040,1,30
.621,5,8
.379,3,8
.746,3,4
.254,1,4
.977,39,40
.023,1,40
.987,79,80
.013,1,80
.661,2,3
.339,1,3
.504,1,2
.496,1,2
.862,6,7
.138,1,7
.530,5,9
.470,4,9
.942,19,20
.058,1,2
.944,19,20
.056,1,20
.609,3,5
.391,2,5
.593,3,5
.407,2,5
.873,7,8
.127,1,8
.941,14,15
.059,1,15
.955,19,20
.045,1,20
.965,29,30
.035,1,30
.907,9,10
.093,1,10
.959,29,30
.041,1,30
.933,14,15
.067,1,15
.983,59,60
.017,1,60
.986,79,80
.014,1,80
.965,29,30
.035,1,30
.945,19,20
.055,1,20
.951,19,20
.049,1,20
.984,59,60
.016,1,60
.831,5,6
.169,1,6
.972,39,40
.028,1,40
.853,6,7
.147,1,7
.987,79,80
.013,1,80
.823,5,6
.177,1,6
.629,5,8
.371,3,8
.535,5,9
.465,4,9
.861,6,7
.139,1,7
.964,29,30
.036,1,30
